Title;Type;Issn
2nd International Conference on Communications Computing and Control Applications, CCCA 2012;conference and proceeding;-
87th Annual International School of Hydrocarbon Measurement 2012, ISHM 2012;conference and proceeding;-
2012 International Conference on Reconfigurable Computing and FPGAs, ReConFig 2012;conference and proceeding;-
i-CREATe 2012 - 6th International Convention on Rehabilitation Engineering and Assistive Technology;conference and proceeding;-
Proceedings of 15th International Conference on Mechatronics, MECHATRONIKA 2012;conference and proceeding;-
2012 2nd International Electric Drives Production Conference, EDPC 2012 - Proceedings;conference and proceeding;-
6th ESA Workshop on Satellite Navigation Technologies: Multi-GNSS Navigation Technologies Galileo's Here, NAVITEC 2012 and European Workshop on GNSS Signals and Signal Processing;conference and proceeding;-
Juridicas;journal;ISSN 17942918
38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings;conference and proceeding;-
CCE 2012 - 2012 9th International Conference on Electrical Engineering, Computing Science and Automatic Control;conference and proceeding;-
2012 Conference Handbook - Asia-Pacific Signal and Information Processing Association Annual Summit and Conference, APSIPA ASC 2012;conference and proceeding;-
2012 International Conference on Computer Systems and Industrial Informatics, ICCSII 2012;conference and proceeding;-
IGLC 2012 - 20th Conference of the International Group for Lean Construction;conference and proceeding;-
Proceedings of 2012 International Conference on Complex Systems, ICCS 2012;conference and proceeding;-
SMPTE Annual Technical Conference and Exhibition 2012, SMPTE 2012;conference and proceeding;-
World Energy Engineering Congress 2012, WEEC 2012;conference and proceeding;-
Proceedings of 2012 15th International Telecommunications Network Strategy and Planning Symposium, NETWORKS 2012;conference and proceeding;-
Kwartalnik Historii Zydow / Jewish History Quarterly;journal;ISSN 14259966
Proceedings of 2012 International Conference on Image Analysis and Signal Processing, IASP 2012;conference and proceeding;-
Actes des 8th Journees Francophones de Programmation par Contraintes, JFPC 2012;conference and proceeding;-
2013 5th International Conference on Communication Systems and Networks, COMSNETS 2013;conference and proceeding;-
Proceedings of the 2012 International Workshop on Metamaterials, Meta 2012;conference and proceeding;-
CHISA 2012 - 20th International Congress of Chemical and Process Engineering and PRES 2012 - 15th Conference PRES;conference and proceeding;-
ICSICT 2012 - 2012 IEEE 11th International Conference on Solid-State and Integrated Circuit Technology, Proceedings;conference and proceeding;-
2012 6th International Conference on Distributed Smart Cameras, ICDSC 2012;conference and proceeding;-
Society of Petroleum Engineers - SPE/APPEA Int. Conference on Health, Safety and Environment in Oil and Gas Exploration and Production 2012: Protecting People and the Environment - Evolving Challenges;conference and proceeding;-
Learning Imaging;book serie;ISSN 1869697X, 18696988
"2012 2nd International Conference ""Methods and Systems of Navigation and Motion Control"", MSNMC 2012 - Proceedings";conference and proceeding;-
6th Australasian Housing Researchers' Conference, AHRC 2012;conference and proceeding;-
Epidemiologie et Sante Animale;journal;ISSN 07542186
Global Congress on Process Safety 2012 - Topical Conference at the 2012 AIChE Spring Meeting and 8th Global Congress on Process Safety;conference and proceeding;-
Paper Conference and Trade Show 2012, PaperCon 2012: Growing the Future - Co-located with Control Systems 2012;conference and proceeding;-
Diasporas;journal;ISSN 16375823
Forum Stadt;journal;ISSN 01709364
Pallas;journal;ISSN 00310387
2012 TAPPI PEERS Conference: Building a Sustainable Future;conference and proceeding;-
Society of Petroleum Engineers - SPE Asia Pacific Oil and Gas Conference and Exhibition 2012, APOGCE 2012;conference and proceeding;-
Proceedings on 2012 1st International Conference on Emerging Technology Trends in Electronics, Communication and Networking, ET2ECN 2012;conference and proceeding;-
"2012 4th International Conference ""Problems of Cybernetics and Informatics"", PCI 2012 - Proceedings";conference and proceeding;-
Proceedings - 2012 IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2012;conference and proceeding;-
PEDES 2012 - IEEE International Conference on Power Electronics, Drives and Energy Systems;conference and proceeding;-
Theologische Quartalschrift;journal;ISSN 03421430
Conference Proceedings - 2012 International Conference on Actual Problems of Electron Devices Engineering, APEDE 2012;conference and proceeding;-
Society of Petroleum Engineers - SPE Russian Oil and Gas Exploration and Production Technical Conference and Exhibition 2012;conference and proceeding;-
Revue Thomiste;journal;ISSN 00354295
Ekonomista;journal;ISSN 00133205
19th International Congress on Sound and Vibration 2012, ICSV 2012;conference and proceeding;-
Novyj Istoriceskij Vestnik;journal;ISSN 20729286
Association of State Dam Safety Officials - Dam Safety 2012;conference and proceeding;-
Gazette des Archives;journal;ISSN 00165522
133rd Audio Engineering Society Convention 2012, AES 2012;conference and proceeding;-
Estudios Eclesiasticos;journal;ISSN 02101610
Revista Proyecto, Progreso, Arquitectura;journal;ISSN 21716897, 21731616
HSCC 2013 - Proceedings of the 16th International Conference on Hybrid Systems: Computation and Control, Part of CPSWeek 2013;conference and proceeding;-
ISSNIP Biosignals and Biorobotics Conference, BRC;conference and proceeding;ISSN 23267771
Annual Conference of the Australasian Corrosion Association 2012;conference and proceeding;-
Proceedings of the 2011 International Conference and Utility Exhibition on Power and Energy Systems: Issues and Prospects for Asia, ICUE 2011;conference and proceeding;-
Philosophie;journal;ISSN 02941805
39th EPS Conference on Plasma Physics 2012, EPS 2012 and the 16th International Congress on Plasma Physics;conference and proceeding;-
IEEE Power and Energy Society Conference and Exposition in Africa: Intelligent Grid Integration of Renewable Energy Resources, PowerAfrica 2012;conference and proceeding;-
WikiSym 2012 Conference Proceedings - 8th Annual International Symposium on Wikis and Open Collaboration;conference and proceeding;-
29th Annual International Pittsburgh Coal Conference 2012, PCC 2012;conference and proceeding;-
Historia da Educacao;journal;ISSN 22363459, 14143518
Bibel und Kirche;journal;ISSN 00060623
2012 IEEE International Conference on Computational Intelligence and Computing Research, ICCIC 2012;conference and proceeding;-
IMAPS International Conference and Exhibition on Device Packaging, DPC 2012 - In Conjunction with the Global Business Council, GBC 2012 Spring Conference;conference and proceeding;-
AUVSI Unmanned Systems North America Conference 2012;conference and proceeding;-
52nd AGIFORS Annual Proceedings 2012 - Symposium and Study Group Meeting;conference and proceeding;-
ASABE - 21st Century Watershed Technology Conference and Workshop 2012: Improving Water Quality and the Environment;conference and proceeding;-
Bulletin de la Societe de l'Histoire du Protestantisme Francais;journal;ISSN 00379050
Society of Petroleum Engineers - Kuwait International Petroleum Conference and Exhibition 2012, KIPCE 2012: People and Innovative Technologies to Unleash Challenging Hydrocarbon Resources;conference and proceeding;-
Web Coating and Handling Conference 2012;conference and proceeding;-
Print and Promo;journal;ISSN 21685266
National Association for Surface Finishing Annual Conference and Trade Show 2012, SUR/FIN 2012;conference and proceeding;-
Bulletin de Litterature Ecclesiastique;journal;ISSN 00074322
Modeling and Computation in Engineering II - Proceedings of the 2nd SREE Conference on Modeling and Computation in Engineering, CMCE 2013;conference and proceeding;-
Proceedings - 2012 International Conference on Advanced Computer Science Applications and Technologies, ACSAT 2012;conference and proceeding;-
Ricerca Folklorica;journal;ISSN 03919099
Marine Navigation and Safety of Sea Transportation: STCW, Maritime Education and Training (MET), Human Resources and Crew Manning, Maritime Policy, Logistics and Economic Matters;conference and proceeding;-
ICMT 2012 - 16th International Conference on Mechatronics Technology;conference and proceeding;-
Cristianesimo nella Storia;journal;ISSN 03933598
Logos and Pneuma - Chinese Journal of Theology;journal;ISSN 10232583
Information Optoelectronics, Nanofabrication and Testing, IONT 2012;conference and proceeding;-
Laser and Tera-Hertz Science and Technology, LTST 2012;conference and proceeding;-
Association of State Dam Safety Officials Annual Conference 2012, Dam Safety 2012;conference and proceeding;-
Cancer Research and Clinic;journal;ISSN 10069801
2013 IEEE 4th Latin American Symposium on Circuits and Systems, LASCAS 2013 - Conference Proceedings;conference and proceeding;-
44th Conference and Expo of the International Erosion Control Association: Environmental Connection 2013;conference and proceeding;-
SPE Automotive and Composites Divisions - 12th Annual Automotive Composites Conference and Exhibition 2012, ACCE 2012: Unleashing the Power of Design;conference and proceeding;-
Australian Acoustical Society Conference 2012, Acoustics 2012: Acoustics, Development, and the Environment;conference and proceeding;-
2012 2nd IEEE CPMT Symposium Japan, ICSJ 2012;conference and proceeding;-
Air and Waste Management Association - Aerosol and Atmospheric Optics: Visibility and Air Pollution Specialty Conference 2012;conference and proceeding;-
International Conference on Computer Applications Technology, ICCAT 2013;conference and proceeding;-
International Journal of Literary Humanities;journal;ISSN 23277912, 23278676
Per Musi;journal;ISSN 15177599
ISEC 2013 - 3rd IEEE Integrated STEM Education Conference;conference and proceeding;-
Antipoda;journal;ISSN 19005407, 20114273
Kepes;journal;ISSN 17947111
14th International Conference on Electronic Materials and Packaging, EMAP 2012;conference and proceeding;-
Technische Berichte des Hasso-Plattner-Instituts fur Softwaresystemtechnik an der Universitat Potsdam;conference and proceeding;ISSN 21911665
6th International Conference on Signal Processing and Communication Systems, ICSPCS 2012 - Proceedings;conference and proceeding;-
AIAA Infotech at Aerospace Conference and Exhibit 2012;conference and proceeding;-
Society of Petroleum Engineers - SPE Digital Energy Conference and Exhibition 2013;conference and proceeding;-
Decommissioning, Decontamination, and Reutilization Topical Meeting 2012, DD and R 2012;conference and proceeding;-
Espaco Plural;journal;ISSN 15184196, 1981478X
8th International Topical Meeting on Nuclear Plant Instrumentation, Control, and Human-Machine Interface Technologies 2012, NPIC and HMIT 2012: Enabling the Future of Nuclear Energy;conference and proceeding;-
Society of Petroleum Engineers - SPE Middle East Unconventional Gas Conference and Exhibition 2013, UGAS 2013 - Unconventional and Tight Gas: Bridging the Gaps for Sustainable Economic Development;conference and proceeding;-
Conference on Nuclear Training and Education 2013, CONTE 2013: An International Forum for Discussion of Issues Facing Nuclear Energy Training and Education;conference and proceeding;-
Society of Petroleum Engineers - SPE Hydraulic Fracturing Technology Conference 2013;conference and proceeding;-
Revista Letral;journal;ISSN 19893302
Underwater Intervention Conference 2012, UI 2012;conference and proceeding;-
18th AIAA/CEAS Aeroacoustics Conference (33rd AIAA Aeroacoustics Conference);conference and proceeding;-
Proceedings of the 2nd IASTED Asian Conference on Modelling, Identification, and Control, AsiaMIC 2012;conference and proceeding;-
Iluminace;journal;ISSN 0862397X
10th Annual International Energy Conversion Engineering Conference, IECEC 2012;conference and proceeding;-
Preistoria Alpina;journal;ISSN 03930157
Teksty Drugie;journal;ISSN 08670633
42nd International Conference on Environmental Systems 2012, ICES 2012;conference and proceeding;-
AIAA SPACE Conference and Exposition 2012;conference and proceeding;-
Proceedings of the 2012 ASE International Conference on Social Informatics, SocialInformatics 2012;conference and proceeding;-
Society of Petroleum Engineers - SPE Reservoir Simulation Symposium 2013;conference and proceeding;-
Codrul Cosminului;journal;ISSN 1224032X, 20675860
Society of Petroleum Engineers - SPE Americas E and P Health, Safety, Security, and Environmental Conference 2013;conference and proceeding;-
2013 10th Workshop on Positioning, Navigation and Communication, WPNC 2013 - Proceedings;conference and proceeding;-
Society of Petroleum Engineers - Coiled Tubing and Well Intervention Conference and Exhibition 2013;conference and proceeding;-
The World's Leading Conference on Laser Safety, ILSC 2013 - International Laser Safety Conference;conference and proceeding;-
Society of Petroleum Engineers - SPE Western Regional / Pacific Section AAPG Joint Technical Conference 2013: Energy and the Environment Working Together for the Future;conference and proceeding;-
Society of Petroleum Engineers - North Africa Technical Conference and Exhibition 2013, NATC 2013;conference and proceeding;-
TAPPI International Conference on Nanotechnology for Renewable Materials 2012;conference and proceeding;-
53rd Israel Annual Conference on Aerospace Sciences 2013;conference and proceeding;-
2013 IEEE PES Conference on Innovative Smart Grid Technologies, ISGT LA 2013;conference and proceeding;-
European Conference and Exhibition on Optical Communication, ECEOC 2012;conference and proceeding;-
Society of Petroleum Engineers - 2013 SPE Artificial Lift Conference - Americas: Artificial Lift: Where Do We Go From Here;conference and proceeding;-
Nuclear and Emerging Technologies for Space, NETS 2013;conference and proceeding;-
AIChE 2013 - 2013 AIChE Spring Meeting and 9th Global Congress on Process Safety, Conference Proceedings;conference and proceeding;-
CMG 2012 International Conference;conference and proceeding;-
Proceedings of the 10th (2012) ISOPE Pacific/Asia Offshore Mechanics Symposium, PACOMS 2012;conference and proceeding;-
2013 Annual International Conference on Emerging Research Areas, AICERA 2013 and 2013 International Conference on Microelectronics, Communications and Renewable Energy, ICMiCR 2013 - Proceedings;conference and proceeding;-
2013 SME Annual Meeting and Exhibit, SME 2013 and CMA 115th National Western Mining Conference - Mining: It's About the People;conference and proceeding;-
28th International Conference on Computers and Their Applications 2013, CATA 2013;conference and proceeding;-
Annual International Conference of the American Society for Engineering Management 2012, ASEM 2012 - Agile Management: Embracing Change and Uncertainty in Engineering Management;conference and proceeding;-
Society of Petroleum Engineers - SPE Heavy Oil Conference Canada 2013;conference and proceeding;-
2013 IEEE International Symposium on Innovations in Intelligent Systems and Applications, IEEE INISTA 2013;conference and proceeding;-
fib Symposium 2012: Concrete Structures for Sustainable Community - Proceedings;conference and proceeding;-
Dix-Neuf;journal;ISSN 14787318
Langage et l'Homme;journal;ISSN 04587251
Society of Petroleum Engineers - SPE European HSE Conference and Exhibition 2013: Health, Safety, Environment and Social Responsibility in the Oil and Gas Exploration and Production Industry;conference and proceeding;-
Structural Stability Research Council Annual Stability Conference 2013, SSRC 2013;conference and proceeding;-
2013 IEEE 14th Annual Wireless and Microwave Technology Conference, WAMICON 2013;conference and proceeding;-
14th IEEE International Vacuum Electronics Conference, IVEC 2013 - Proceedings;conference and proceeding;-
IEEE Conference on Technologies for Practical Robot Applications, TePRA;conference and proceeding;ISSN 23250526
11th International Energy Conversion Engineering Conference;conference and proceeding;-
22nd Annual International Symposium of the International Council on Systems Engineering, INCOSE 2012 and the 8th Biennial European Systems Engineering Conference 2012, EuSEC 2012;conference and proceeding;-
30th International No-Dig Conference and Exhibition 2012, No-Dig Sao Paulo 2012;conference and proceeding;-
IPC APEX EXPO Conference and Exhibition 2013, APEX EXPO 2013;conference and proceeding;-
4th International Conference on Bioinformatics and Computational Biology 2012, BICoB 2012;conference and proceeding;-
5th International Conference on Bioinformatics and Computational Biology 2013, BICoB 2013;conference and proceeding;-
2013 22nd International Conference on Noise and Fluctuations, ICNF 2013;conference and proceeding;-
28th Center for Chemical Process Safety International Conference 2013, CCPS - Topical Conference at the 2013 AIChE Spring Meeting and 9th Global Congress on Process Safety;conference and proceeding;-
2013 IEEE Transportation Electrification Conference and Expo: Components, Systems, and Power Electronics - From Technology to Business and Public Policy, ITEC 2013;conference and proceeding;-
DesignCon 2013: Where Chipheads Connect;conference and proceeding;-
RIHA Journal;journal;ISSN 21903328
Mutatis Mutandis;journal;ISSN 2011799X
International Journal of Literacies;journal;ISSN 2327266X, 23270136
Proceedings for the Joint Conference: MFPT 2013 and ISA's 59th International Instrumentation Symposium, ISA 2013: Sensors and Systems for Reliability, Safety and Affordability;conference and proceeding;-
International Journal of Technologies in Learning;journal;ISSN 23272686, 23270144
International Journal of Learner Diversity and Identities;journal;ISSN 23270128, 23272627
American Fuel and Petrochemical Manufacturers, AFPM - AFPM Annual Meeting 2013;conference and proceeding;-
Society of Plastics Engineers - 14th-Annual SPE TPO Automotive Engineered Polyolefins Conference;conference and proceeding;-
Optics InfoBase Conference Papers;conference and proceeding;ISSN 21622701
International Journal of Architectonic, Spatial, and Environmental Design;journal;ISSN 23251670, 23251662
Izquierdas;journal;ISSN 07185049
Physics at LHC 2011, PLHC 2011 - Proceedings of the International Conference;conference and proceeding;-
Arctos;journal;ISSN 0570734X
53rd Annual Transportation Research Forum, TRF 2012;conference and proceeding;-
Confluenze;journal;ISSN 20360967
Outre-Mers;journal;ISSN 16310438
Classica et Christiana;journal;ISSN 18423043
Knjizevna Smotra;journal;ISSN 04550463
2013 IEEE 14th InternationalSuperconductive Electronics Conference, ISEC 2013;conference and proceeding;-
Journal of Thermoelectricity;journal;ISSN 16078829
Field Robotics - Proceedings of the 14th International Conference on Climbing and Walking Robots and the Support Technologies for Mobile Machines, CLAWAR 2011;conference and proceeding;-
CERN-Proceedings;conference and proceeding;ISSN 20788835
Kerygma und Dogma;journal;ISSN 00230707
Archaologie der Schweiz;journal;ISSN 02559005
2012 International Conference on Photonics in Switching, PS 2012;conference and proceeding;-
Proceedings - Power Engineering and Automation Conference, PEAM 2012;conference and proceeding;-
Revista Colombiana de Fisica;journal;ISSN 01202650
2013 International Green Computing Conference Proceedings, IGCC 2013;conference and proceeding;-
Integrative Medicine Alert;journal;ISSN 23252812
Vniversitas;journal;ISSN 00419060, 20111711
Proceedings - 28th International PLEA Conference on Sustainable Architecture + Urban Design: Opportunities, Limits and Needs - Towards an Environmentally Responsible Architecture, PLEA 2012;conference and proceeding;-
23rd International Conference on Adaptive Structures and Technologies, ICAST 2012;conference and proceeding;-
2013 IEEE International Wireless Symposium, IWS 2013;conference and proceeding;-
Proceedings of the 15th Lomonosov Conference on Elementary Particle Physics: Particle Physics at the Tercentenary of Mikhail Lomonosov;conference and proceeding;-
56th Annual Meeting of the International Society for the Systems Sciences 2012, ISSS 2012: Service Systems, Natural Systems;conference and proceeding;-
Etica e Politica;journal;ISSN 18255167
Journal of the Institute of Electronics, Information and Communication Engineers;journal;ISSN 09135693
Proceedings of the IADIS International Conference e-Health 2012, EH 2012, Part of the IADIS Multi Conference on Computer Science and Information Systems 2012, MCCSIS 2012;conference and proceeding;-
Pipelines 2013: Pipelines and Trenchless Construction and Renewals - A Global Perspective - Proceedings of the Pipelines 2013 Conference;conference and proceeding;-
Advances in Hurricane Engineering: Learning from Our Past - Proceedings of the 2012 ATC and SEI Conference on Advances in Hurricane Engineering;conference and proceeding;-
Proceedings of the IADIS International Conference Interfaces and Human Computer Interaction 2012, IHCI 2012, Proceedings of the IADIS International Conference Game and Entertainment Technologies 2012;conference and proceeding;-
Proceedings of the IADIS International Conference e-Learning 2012;conference and proceeding;-
Bio-Optics: Design and Application, BODA 2013;conference and proceeding;-
CLEO: Applications and Technology, CLEO_AT 2013;conference and proceeding;-
59th Annual Technical Meeting of the Institute of Environmental Sciences and Technology: Connect, Learn, Grow, Recharge, ESTECH 2013;conference and proceeding;-
Optical Molecular Probes, Imaging and Drug Delivery, OMP 2013;conference and proceeding;-
CLEO: QELS_Fundamental Science, CLEO:QELS FS 2013;conference and proceeding;-
Nanophotonics, Nanoelectronics and Nanosensor, N3 2013;conference and proceeding;-
Optical Trapping Applications, OTA 2013;conference and proceeding;-
Advanced Optoelectronics for Energy and Environment, AOEE 2013;conference and proceeding;-
American Society for Photogrammetry and Remote Sensing Annual Conference, ASPRS 2013;conference and proceeding;-
Kirchliche Zeitgeschichte;journal;ISSN 09329951, 2196808X
2013 World Congress on Computer and Information Technology, WCCIT 2013;conference and proceeding;-
Air and Waste Management Association - Guideline on Air Quality Models 2013: The Path Forward;conference and proceeding;-
National Association for Surface Finishing Annual Conference and Trade Show, SUR/FIN 2013;conference and proceeding;-
Communio Viatorum;journal;ISSN 00103713
30th International Battery Seminar and Exhibit 2013: Primary and Secondary Batteries - Other Technologies;conference and proceeding;-
2013 IEEE 11th IVMSP Workshop: 3D Image/Video Technologies and Applications, IVMSP 2013 - Proceedings;conference and proceeding;-
10th International Conference on Progress of Machining Technology, ICPMT 2012;conference and proceeding;-
Prakseologia;journal;ISSN 00794872
Citeaux;journal;ISSN 00097497
Electronic Proceedings of the 2013 IEEE International Conference on Multimedia and Expo Workshops, ICMEW 2013;conference and proceeding;-
PHM 2013 - 2013 IEEE International Conference on Prognostics and Health Management, Conference Proceedings;conference and proceeding;-
2013 26th International Vacuum Nanoelectronics Conference, IVNC 2013;conference and proceeding;-
IISA 2013 - 4th International Conference on Information, Intelligence, Systems and Applications;conference and proceeding;-
Society of Petroleum Engineers - 37th Nigeria Annual Int. Conf. and Exhibition, NAICE 2013 - To Grow Africa's Oil and Gas Production: Required Policy, Funding, Technol., Techniques and Capabilities;conference and proceeding;-
Philobiblon;journal;ISSN 00317969, 12247448
RESCEU Symposium on General Relativity and Gravitation, JGRG 22;conference and proceeding;-
Society of Petroleum Engineers - SPE Enhanced Oil Recovery Conference, EORC 2013: Delivering the Promise NOW!;conference and proceeding;-
SPE Latin American and Caribbean Health / Safety / Environment / Social Responsibility Conference 2013: Sustainable Solutions for Challenging HSSE Environments in Latin America and the Caribbean;conference and proceeding;-
"Proceeding of the 2013 ""Suzhou-Silicon Valley-Beijing"" International Innovation Conference: Technology Innovation and Diasporas in a Global Era, SIIC 2013";conference and proceeding;-
ICBMH 2013 - 11th International Conference on Bulk Materials Storage, Handling and Transportation;conference and proceeding;-
WMSCI 2013 - 17th World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings;conference and proceeding;-
2013 Joint Rail Conference, JRC 2013;conference and proceeding;-
Proceedings - 38th International Symposium on Multiparticle Dynamics, ISMD 2008;conference and proceeding;-
Advances in Powder Metallurgy and Particulate Materials - 2012, Proceedings of the 2012 International Conference on Powder Metallurgy and Particulate Materials, PowderMet 2012;conference and proceeding;-
2012 11th International Conference on Actual Problems of Electronic Instrument Engineering, APEIE 2012 - Proceedings;conference and proceeding;-
88th Annual International School of Hydrocarbon Measurement 2013;conference and proceeding;-
International Conference and Exhibition on Device Packaging 2013;conference and proceeding;-
AWWA/WEF Utility Management Conference 2013;conference and proceeding;-
Proceedings - 2012 IEEE 2nd International Conference on Cloud Computing and Intelligence Systems, IEEE CCIS 2012;conference and proceeding;-
Chemical Engineering III - Proceedings of the 3rd SREE Conference on Chemical Engineering, CCE 2013;conference and proceeding;-
Society of Plastics Engineers - SPE 2012 Polyolefins and FlexPack Conference;conference and proceeding;-
AMTA/AWWA Membrane Technology Conference and Exposition 2013;conference and proceeding;-
Asia Communications and Photonics Conference, ACP 2012;conference and proceeding;-
Society of Plastics Engineers - 2013 SPE International Polyolefins Conference;conference and proceeding;-
Proceedings of the 12th International Symposium on Structural Engineering, ISSE 2012;conference and proceeding;-
Applied Industrial Optics: Spectroscopy, Imaging and Metrology, AIO 2012;conference and proceeding;-
Access Networks and In-house Communications, ANIC 2012;conference and proceeding;-
ACE 2013 - 2013 AWWA Annual Conference and Exposition;conference and proceeding;-
Computational Optical Sensing and Imaging, COSI 2012;conference and proceeding;-
2013 Water Quality Technology Conference and Exposition, WQTC 2013;conference and proceeding;-
Biomedical Optics, BIOMED 2012;conference and proceeding;-
Digital Holography and Three-Dimensional Imaging, DH 2012;conference and proceeding;-
Water Quality Technology Conference and Exposition 2012;conference and proceeding;-
Bragg Gratings, Photosensitivity, and Poling in Glass Waveguides, BGPP 2012;conference and proceeding;-
2013 IFIP Networking Conference, IFIP Networking 2013;conference and proceeding;-
Fire and Materials 2013 - 13th International Conference and Exhibition, Conference Proceedings;conference and proceeding;-
2013 IEEE Energytech, Energytech 2013;conference and proceeding;-
Ecclesiastical Law Journal;journal;ISSN 0956618X, 17518539
ISSCS 2013 - International Symposium on Signals, Circuits and Systems;conference and proceeding;-
UCMMT 2013 - 2013 6th UK, Europe, China Millimeter Waves and THz Technology Workshop;conference and proceeding;-
SIGGRAPH Asia 2013 Posters, SA 2013;conference and proceeding;-
Proceedings of 2013 9th International ITG Conference on Systems, Communication and Coding, SCC 2013;conference and proceeding;-
2013 3rd IEEE International Conference on Computer, Control and Communication, IC4 2013;conference and proceeding;-
Symposium of Signals, Images and Artificial Vision - 2013, STSIVA 2013;conference and proceeding;-
19th International Conference on Industrial Engineering and Engineering Management;conference and proceeding;-
Informal Proceedings of the 11th International Workshop of Electronics, Control, Measurement, Signals and Their Application to Mechatronics, ECMSM 2013;conference and proceeding;-
International Asia Conference on Industrial Engineering and Management Innovation: Core Areas of Industrial Engineering, IEMI 2012 - Proceedings;conference and proceeding;-
2013 IEEE International Semiconductor Conference Dresden - Grenoble: Technology, Design, Packaging, Simulation and Test, ISCDG 2013;conference and proceeding;-
2013 IEEE International Conference on Signal Processing, Computing and Control, ISPCC 2013;conference and proceeding;-
ASME 2013 Conference on Information Storage and Processing Systems, ISPS 2013;conference and proceeding;-
ASME 2013 11th International Conference on Nanochannels, Microchannels and Minichannels, ICNMM 2013;conference and proceeding;-
2013 European Conference on Circuit Theory and Design, ECCTD 2013 - Proceedings;conference and proceeding;-
ASME 2013 11th Int. Conf. on Fuel Cell Science, Eng. and Technology Collocated with the ASME 2013 Heat Transfer Summer Conf. and the ASME 2013 7th Int. Conf. on Energy Sustainability, FUELCELL 2013;conference and proceeding;-
8th Asian-Australasian Conference on Composite Materials 2012, ACCM 2012 - Composites: Enabling Tomorrow's Industry Today;conference and proceeding;-
Imaging Systems and Applications, ISA 2012;conference and proceeding;-
Frontiers in Optics, FIO 2012;conference and proceeding;-
6th European Conference on Information Management and Evaluation, ECIME 2012;conference and proceeding;-
Integrated Photonics Research, Silicon and Nanophotonics, IPRSN 2012;conference and proceeding;-
International Conference on Ultrafast Structural Dynamics, ICUSD 2012;conference and proceeding;-
Laser Science, LS 2012;conference and proceeding;-
ICPTT 2013: Trenchless Technology - The Best Choice for Underground Pipeline Construction and Renewal, Proceedings of the International Conference on Pipelines and Trenchless Technology;conference and proceeding;-
National Fiber Optic Engineers Conference, NFOEC 2012;conference and proceeding;-
Hyperboreus;journal;ISSN 09492615, 21562253
Fiber Lasers and Applications, FILAS 2012;conference and proceeding;-
Optical Instrumentation for Energy and Environmental Applications, E2 2012;conference and proceeding;-
High Intensity Lasers and High Field Phenomena, HILAS 2012;conference and proceeding;-
Laser Applications to Chemical, Security and Environmental Analysis, LACSEA 2012;conference and proceeding;-
37th International Precious Metals Institute Annual Conference, IPMI 2013 - Out of the Ashes the Golden Phoenix Rises: Staying Compliant by Rising Above the Regulations;conference and proceeding;-
Proceedings of the 2013 39th Latin American Computing Conference, CLEI 2013;conference and proceeding;-
2013 International Siberian Conference on Control and Communications, SIBCON 2013 - Proceedings;conference and proceeding;-
BMEiCON 2013 - 6th Biomedical Engineering International Conference;conference and proceeding;-
Association of State Dam Safety Officials Annual Conference 2013, Dam Safety 2013;conference and proceeding;-
2013 IEEE Information Theory Workshop, ITW 2013;conference and proceeding;-
Analele Universitatii din Craiova - Seria Istorie;journal;ISSN 12245704
ICECom 2013 - Conference Proceedings: 21st International Conference on Applied Electromagnetics and Communications;conference and proceeding;-
EMPC 2013 - European Microelectronics Packaging Conference: The Winding Roads of Electronics Packaging;conference and proceeding;-
13th IEEE International Conference on Peer-to-Peer Computing, IEEE P2P 2013 - Proceedings;conference and proceeding;-
Proceedings of the 18th International Conference of Hong Kong Society for Transportation Studies, HKSTS 2013 - Travel Behaviour and Society;conference and proceeding;-
2013 24th International Conference on Information, Communication and Automation Technologies, ICAT 2013;conference and proceeding;-
2013 IEEE/OES Acoustics in Underwater Geosciences Symposium, RIO Acoustics 2013;conference and proceeding;-
2013 3rd International Electric Drives Production Conference, EDPC 2013 - Proceedings;conference and proceeding;-
American Filtration and Separations Society Spring Conference 2013;conference and proceeding;-
"15th Asia-Pacific Network Operations and Management Symposium: ""Integrated Management of Network Virtualization"", APNOMS 2013";conference and proceeding;-
Chip in Curitiba 2013 - SBMicro 2013: 28th Symposium on Microelectronics Technology and Devices;conference and proceeding;-
Proceedings of IEEE East-West Design and Test Symposium, EWDTS 2013;conference and proceeding;-
World Energy Engineering Congress, WEEC 2013;conference and proceeding;-
IEEE VCIP 2013 - 2013 IEEE International Conference on Visual Communications and Image Processing;conference and proceeding;-
2013 IST-Africa Conference and Exhibition, IST-Africa 2013;conference and proceeding;-
2013 E-Health and Bioengineering Conference, EHB 2013;conference and proceeding;-
IEEE SENSORS 2013 - Proceedings;conference and proceeding;-
2013 15th International Conference on Advanced Computing Technologies, ICACT 2013;conference and proceeding;-
Technical Digest of the 18th Microoptics Conference, MOC 2013;conference and proceeding;-
13th IEEE International Conference on BioInformatics and BioEngineering, IEEE BIBE 2013;conference and proceeding;-
2013 3rd International Symposium ISKO-Maghreb;conference and proceeding;-
2013 International Conference on Circuits, Controls and Communications, CCUBE 2013;conference and proceeding;-
Journal of Modern Literature;journal;ISSN 0022281X, 15291464
Society of Petroleum Engineers - Kuwait Oil and Gas Show and Conference, KOGS 2013;conference and proceeding;-
